Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1290419242,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
1290419243,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290420266,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290427899,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290428887,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290431691,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290432686,00000201,false,Rx,0,8,00,FE,FE,00,00,00,46,00,
1290438149,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290439139,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290440138,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290448915,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290451766,00000201,false,Rx,0,8,00,FE,FE,00,00,00,47,00,
1290452763,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290458883,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290459815,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290467942,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290468952,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290471736,00000201,false,Rx,0,8,00,FE,FE,00,00,00,48,00,
1290478856,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290479869,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290483850,0000077A,false,Rx,0,8,4D,20,5D,80,1E,00,00,FF,
1290484873,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290485892,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290488875,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290491765,00000201,false,Rx,0,8,00,FE,FE,00,00,00,49,00,
1290492772,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290498863,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290499858,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290508848,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290509855,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290511767,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4A,00,
1290518200,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290519255,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290519256,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290528776,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290531715,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290532733,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4B,00,
1290532734,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290538136,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290539174,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290540152,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290548810,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290550485,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290551749,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4C,00,
1290558806,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290559806,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290568760,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290571739,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4D,00,
1290572758,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290578813,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290579834,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290583780,0000077A,false,Rx,0,8,4D,20,5D,80,1E,00,00,FF,
1290585236,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290588796,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290591717,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4E,00,
1290592726,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290593725,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290598780,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290599796,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290608746,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290611760,00000201,false,Rx,0,8,00,FE,FE,00,00,00,4F,00,
1290612784,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290618205,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290619198,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290619200,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290628776,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290631664,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290632676,00000201,false,Rx,0,8,00,FE,FE,00,00,00,50,00,
1290632677,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290638108,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290639140,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290640119,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290648717,000000FA,false,Rx,0,8,17,88,42,10,02,1A,1A,00,
1290651776,00000201,false,Rx,0,8,00,FE,FE,00,00,00,51,00,
1290652771,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290658734,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290659757,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290668733,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290671733,00000201,false,Rx,0,8,00,FE,FE,00,00,00,52,00,
1290672721,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290678768,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290679788,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290683723,0000077A,false,Rx,0,8,4D,21,5D,80,1E,00,00,FF,
1290685197,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290688673,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290691772,00000201,false,Rx,0,8,00,FE,FE,00,00,00,53,00,
1290692772,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290697542,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290698770,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290699758,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290708741,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290711705,00000201,false,Rx,0,8,00,FE,FE,00,00,00,54,00,
1290714188,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290718227,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290719254,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290719255,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290728678,000000FA,false,Rx,0,8,17,80,42,10,02,1A,1A,00,
1290731675,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290732699,00000201,false,Rx,0,8,00,FE,FE,00,00,00,55,00,
1290732700,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290738081,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290739110,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290739111,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290748710,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290751733,00000201,false,Rx,0,8,00,FE,FE,00,00,00,56,00,
1290756038,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290758714,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290759698,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290768660,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290771740,00000201,false,Rx,0,8,00,FE,FE,00,00,00,57,00,
1290772733,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290778764,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290779766,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290783714,0000077A,false,Rx,0,8,4D,21,5D,80,1E,00,00,FF,
1290785210,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290788671,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
