Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1020199,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
1020199,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1028667,00000201,false,Rx,0,8,00,FE,FE,00,00,00,FF,00,
1029692,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1029692,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1039181,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1040202,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1048711,00000201,false,Rx,0,8,00,FE,FE,00,00,00,00,00,
1049677,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1059163,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1060180,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1060181,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1068727,00000201,false,Rx,0,8,00,FE,FE,00,00,00,01,00,
1069675,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1069676,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1079198,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1080225,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1083592,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
1088673,00000201,false,Rx,0,8,00,FE,FE,00,00,00,02,00,
1089655,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1094744,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
1099181,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1100205,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1101205,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1104977,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
1108607,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1109615,00000201,false,Rx,0,8,00,FE,FE,00,00,00,03,00,
1109616,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1110651,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
